timestamp,gaze,iris_score,norm_iris_movement,posture_score,head_tilt,shoulder_angle
21:34:13,Looking Center,94,0.0512,52,-96.65,1.29
21:34:13,Looking Center,95,0.0473,52,-96.62,1.62
21:34:13,Looking Center,95,0.0425,52,-96.38,1.61
21:34:13,Looking Center,96,0.0391,52,-96.06,1.6
21:34:13,Looking Center,96,0.0368,52,-96.41,1.91
21:34:13,Looking Center,96,0.0353,52,-96.41,1.91
21:34:13,Looking Center,96,0.0331,53,-95.77,1.89
21:34:13,Looking Center,96,0.0327,53,-95.74,2.18
21:34:13,Looking Center,96,0.0316,53,-95.43,2.17
21:34:14,Looking Center,96,0.0312,53,-95.08,1.87
21:34:14,Looking Center,96,0.0301,53,-94.42,2.18
21:34:14,Looking Center,97,0.0278,54,-93.48,2.17
21:34:14,Looking Center,97,0.0294,54,-92.85,2.17
21:34:14,Looking Center,97,0.0287,54,-92.21,2.17
21:34:14,Looking Center,97,0.0287,54,-92.2,1.86
21:34:14,Looking Center,97,0.0273,55,-91.57,1.86
21:34:14,Looking Center,97,0.0269,55,-90.94,1.55
21:34:14,Looking Center,97,0.0254,55,-90.63,1.54
21:34:14,Looking Center,97,0.0238,55,-90.0,1.85
21:34:14,Looking Center,97,0.0238,56,-89.06,1.55
21:34:14,Looking Center,97,0.0225,56,-89.04,1.55
21:34:14,Looking Center,97,0.0221,56,-89.35,1.56
21:34:14,Looking Center,97,0.0216,56,-89.03,1.55
21:34:14,Looking Center,97,0.0221,56,-89.68,1.24
21:34:14,Looking Center,97,0.0222,55,-90.32,1.24
21:34:15,Looking Center,97,0.0234,55,-91.61,1.24
21:34:15,Looking Center,97,0.0246,55,-90.96,0.92
21:34:15,Looking Center,97,0.0272,55,-90.63,0.91
21:34:15,Looking Center,97,0.0299,55,-90.63,0.61
21:34:15,Looking Center,96,0.0325,55,-90.63,0.3
21:34:15,Looking Center,96,0.033,55,-90.63,-0.3
21:34:15,Looking Center,96,0.0342,55,-90.93,-0.61
21:34:15,Looking Center,96,0.0342,55,-90.31,-0.93
21:34:15,Looking Center,96,0.0365,55,-90.31,-1.9
21:34:15,Looking Center,96,0.0355,55,-90.31,-1.92
21:34:15,Looking Center,96,0.0351,56,-89.07,-2.26
21:34:15,Looking Center,96,0.0374,56,-89.07,-2.26
21:34:15,Looking Center,96,0.0369,56,-88.74,-1.95
21:34:15,Looking Center,96,0.0385,56,-88.73,-2.6
21:34:15,Looking Center,96,0.0375,56,-88.73,-2.6
21:34:15,Looking Center,96,0.0375,56,-89.05,-2.94
21:34:15,Looking Center,96,0.0375,56,-88.42,-2.94
21:34:16,Looking Center,96,0.0359,56,-88.1,-2.96
21:34:16,Looking Center,96,0.0355,56,-88.09,-3.29
21:34:16,Looking Center,96,0.0355,56,-88.09,-3.29
21:34:16,Looking Center,96,0.037,56,-88.09,-3.29
21:34:16,Looking Center,96,0.0359,56,-88.09,-3.29
21:34:16,Looking Center,96,0.037,56,-88.09,-3.29
21:34:16,Looking Center,96,0.0396,56,-88.4,-3.64
21:34:16,Looking Center,95,0.0408,56,-89.04,-3.64
21:34:16,Looking Center,95,0.0422,55,-90.0,-3.99
21:34:16,Looking Center,95,0.0411,55,-90.0,-4.32
21:34:16,Looking Center,95,0.0425,55,-90.0,-4.32
21:34:16,Looking Center,95,0.0421,55,-90.31,-4.35
21:34:16,Looking Center,95,0.0421,55,-90.0,-4.04
21:34:16,Looking Center,96,0.0398,55,-90.62,-4.04
21:34:16,Looking Center,96,0.0398,55,-91.23,-4.37
21:34:16,Looking Center,96,0.0383,55,-91.83,-4.71
21:34:16,Looking Center,96,0.0357,54,-93.03,-4.37
21:34:17,Looking Center,96,0.0363,54,-93.93,-4.4
21:34:17,Looking Center,96,0.0336,54,-93.31,-4.74
21:34:17,Looking Center,96,0.0349,54,-93.35,-4.74
21:34:17,Looking Center,96,0.0365,54,-93.96,-4.74
21:34:17,Looking Center,96,0.0367,54,-93.67,-4.42
21:34:17,Looking Center,96,0.0388,54,-93.63,-4.42
21:34:17,Looking Center,95,0.0421,54,-93.71,-4.42
21:34:17,Looking Center,95,0.0419,53,-94.45,-4.09
21:34:17,Looking Center,95,0.0434,53,-94.3,-3.77
21:34:17,Looking Center,95,0.0428,53,-95.1,-4.11
21:34:17,Looking Center,95,0.0448,53,-95.19,-4.45
21:34:17,Looking Center,94,0.0501,53,-95.16,-4.11
21:34:17,Looking Center,94,0.0547,53,-95.16,-4.11
21:34:17,Looking Center,94,0.0571,53,-94.82,-4.13
21:34:17,Looking Center,94,0.0591,53,-94.5,-3.77
21:34:17,Looking Center,93,0.0612,53,-95.13,-3.77
21:34:18,Looking Center,93,0.0601,53,-95.04,-3.43
21:34:18,Looking Center,93,0.0612,53,-95.71,-3.43
21:34:18,Looking Center,93,0.0615,52,-97.57,-3.08
21:34:18,Looking Center,93,0.06,51,-98.87,-3.08
21:34:18,Looking Center,93,0.0602,51,-99.25,-2.76
21:34:18,Looking Center,93,0.0629,51,-99.19,-2.41
21:34:18,Looking Center,93,0.0683,51,-98.87,-2.4
21:34:18,Looking Center,92,0.0703,52,-97.57,-2.4
21:34:18,Looking Center,92,0.0732,53,-94.9,-2.4
21:34:18,Looking Center,92,0.0748,54,-92.98,-2.4
21:34:18,Looking Center,92,0.0781,55,-91.96,-2.39
21:34:18,Looking Center,91,0.0804,55,-91.3,-2.05
21:34:18,Looking Center,91,0.0828,56,-88.7,-2.05
21:34:18,Looking Center,91,0.086,57,-86.42,-2.03
21:34:18,Looking Center,91,0.0852,58,-85.78,-2.03
21:34:18,Looking Center,91,0.0876,58,-85.78,-2.03
21:34:18,Looking Center,91,0.0883,58,-85.13,-1.36
21:34:19,Looking Center,91,0.0867,58,-84.81,-1.36
21:34:19,Looking Center,91,0.0853,58,-84.81,-1.36
21:34:19,Looking Center,91,0.0831,58,-84.81,-1.36
21:34:19,Looking Center,92,0.0798,58,-84.75,-0.68
21:34:19,Looking Center,92,0.0777,58,-84.65,-0.34
21:34:19,Looking Center,92,0.0767,58,-84.69,-0.68
